feature,segment,spearman_coefficient,p_value
confirmed,first_wave,0.8292163536644022,4.930555966172134e-60
confirmed,second_wave,0.7456007988922494,2.0164736088998466e-42
confirmed,vaccination,0.7623256888527953,2.3713318435552252e-45
confirmed,whole,0.7934082107630801,1.7026158856747898e-51
deaths,first_wave,0.7312220124258175,4.4236818750715276e-40
deaths,second_wave,0.6523932859314134,1.6284903209464786e-29
deaths,vaccination,0.7489497542401431,5.452130584957645e-43
deaths,whole,0.7619582067981922,2.7665894436426027e-45
