FIPS,STATE_FIPS,population,covid_cases,covid_deaths,POP13_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,Prevalence of obesity,Hypertension,Diabetes,CVD,HIV/AIDS
1001,1,55869,0.658039342032254,0.015142565644632981,92.7,0.7670622348708586,0.1726001897295459,0.004152571193327247,0.00848413252429791,0.0005727684404589307,0.023447708031287477,0.008340940414183179,0.015554242961212838,0.47555889670479157,0.501208183429093,0.06406057026257853,0.07143496393348726,0.0767867690490254,0.0767867690490254,0.05512896239417208,0.11611090228928386,0.1475415704594677,0.14686140793642272,0.10488822065904169,0.07182874223630278,0.03547584528092502,0.009862356584152214,0.36193595732875117,2.68,0.03601281569385527,0.04347670443358571,0.09883835400669423,0.10461973545257656,0.009987649680502605,0.03259410406486603,0.26963074334604165,3.13,0.396194669673701,0.034258712344949795,0.27292416187868046,0.08901179545007071,0.24231684834165637,0.0012340626823462027,0.0804918648982441,0.00275383443412268,0.0019330934865488911
1003,1,223234,0.30493114848096614,0.0040047662990404685,117.3,0.6995036598367632,0.0766236326007687,0.005447198903392852,0.006038506679090103,0.0003986847881595098,0.035800998055851706,0.01626544343603573,0.012197962675936461,0.3995627906143329,0.4169122983058136,0.04998342546386303,0.051958930987215206,0.05342376161337431,0.05196341059157655,0.04232778161032818,0.09387458899629984,0.10550812152270711,0.12059542901170968,0.10990709300554576,0.07975039644498598,0.04269958877231963,0.014482560900221292,0.32781744716306654,2.46,0.03626687690943136,0.046032414417158676,0.0706791976132668,0.10811525126100863,0.008278308859761507,0.023616474192999275,0.22913624268704588,2.93,0.46615210944569374,0.1383346622826272,0.23773708306082406,0.09008036410224249,0.21879731582106668,0.0007634870853006262,0.07536486377523137,0.0020371145255651023,0.0013662793302095559
1005,1,24686,0.9265575629911691,0.005711739447460099,30.2,0.5339058575710929,0.5215506764967998,0.004618002106457101,0.004334440573604472,0.0011747549218180345,0.05618569229522807,0.03621485862432148,0.010451267925139755,0.5904561289799887,0.5217937292392449,0.06894596127359637,0.06651543384914527,0.06477355586162198,0.0701207161954144,0.07267276999108807,0.15466256177590537,0.14696589159847687,0.16276431985740905,0.14647978611358664,0.09065867293202624,0.04974479462043263,0.017945394150530664,0.397796321801831,2.47,0.04958275945880256,0.06372032731102649,0.06594831078344,0.10795592643603662,0.010127197601879608,0.05460584946933485,0.2722595803289314,3.01,0.4791784817305355,0.08138215992870453,0.2655756299116908,0.13222069189014016,0.3343190472332496,0.0010440002430527424,0.14117313457020172,0.0034641323017094708,0.0037268087174916957
1007,1,22394,0.5620701973742966,0.004331517370724301,37.1,0.776145396088238,0.22537286773242832,0.002857908368312941,0.0009824060016075734,0.0005805126373135661,0.018129856211485218,0.008261141377154595,0.009064928105742609,0.5492989193533983,0.4739662409573993,0.06153433955523801,0.06274001964812004,0.06430293828704117,0.0689023845672948,0.06658033401804055,0.14508350451013666,0.15102259533803697,0.15120121461105654,0.12213092792712334,0.07694025185317496,0.04036795570242029,0.012458694293114227,0.3551397695811378,2.6,0.04010002679289095,0.04702152362239886,0.07988746985799768,0.10641243190140216,0.009600785924801286,0.0334018040546575,0.256675895329106,3.09,0.4010449227471644,0.04590515316602661,0.26842011253014203,0.0867196570509958,0.2932035366616058,0.0007461069929445387,0.1131999642761454,0.003250746717870858,0.0017415379119406983
1009,1,57826,0.29647563379794556,0.0012624079133953586,90.2,0.9177186732611629,0.013160170165669421,0.005309030539895549,0.002023311313250095,0.0006571438453290907,0.079998616539273,0.04058727907861515,0.011828589215923634,0.49047141424272817,0.5008127831771175,0.06253242486078926,0.06709784525991769,0.07062567011378965,0.06974371390032165,0.05373015598519697,0.11892574274547782,0.13704907826929064,0.13981599972330785,0.12582575312143326,0.08783246290595925,0.044132397191574725,0.01397295334278698,0.37315394459239787,2.63,0.03737073288832013,0.045291045550444435,0.09979939819458375,0.1263445508940615,0.009995503752637223,0.022066198595787363,0.2797184657420537,3.07,0.41308407982568396,0.03993013523328606,0.3006260159789714,0.07252792861342648,0.2508041365475738,0.00046259246705634136,0.12603327223048455,0.002832364403555494,0.0008473696952927749
1011,1,10101,2.1864171864171866,0.06078606078606079,17.4,0.2481932481932482,0.7589347589347589,0.002277002277002277,0.00198000198000198,0.004257004257004257,0.07692307692307693,0.05633105633105633,0.008514008514008515,0.5852885852885853,0.4951984951984952,0.07345807345807345,0.05643005643005643,0.06682506682506682,0.07187407187407187,0.07038907038907039,0.15394515394515396,0.13483813483813484,0.168003168003168,0.1392931392931393,0.08266508266508267,0.04217404217404217,0.02059202059202059,0.37075537075537074,2.46,0.055044055044055046,0.06672606672606672,0.04702504702504703,0.0695970695970696,0.00999900999901,0.06870606870606871,0.2363132363132363,3.12,0.44480744480744483,0.07405207405207405,0.255024255024255,0.11573111573111573,0.29799029799029797,0.001539825363825364,0.18958518958518958,0.002977211365211365,0.005148005148005148
1013,1,19448,2.201717400246812,0.09584533113944879,27.1,0.5861271081859317,0.46765734265734266,0.0030851501439736733,0.009101192924722336,0.00035993418346359524,0.009821061291649526,0.0024681201151789387,0.00827848621966269,0.50586178527355,0.5712155491567257,0.07054709995886467,0.06946729740847388,0.07532908268202386,0.07152406417112299,0.06016042780748663,0.12993624023035788,0.12222336487042369,0.15322912381735912,0.1452591526120938,0.09404566022213082,0.05902920608802962,0.02632661456190868,0.436600164541341,2.43,0.054658576717400244,0.0752262443438914,0.07604895104895106,0.11307075277663513,0.009306869600987248,0.058772110242698475,0.2950946112710819,3.0,0.5123406005758947,0.07574043603455369,0.3068181818181818,0.1297819827231592,0.3336589880707528,0.0018389808720691073,0.148241464417935,0.004073966474701769,0.002828054298642534
1015,1,113605,0.2700937458738612,0.0035033669292724792,194.7,0.7820078341622287,0.21462083535055676,0.004753311914088288,0.007438052902601118,0.0008450332291712512,0.034267857928788344,0.016671801417191146,0.01738479820430439,0.5032877074072444,0.5404339597728973,0.06341270190572598,0.06620307204788521,0.06794595308305092,0.075762510452885,0.07941551868315655,0.1301615245807843,0.12875313586549889,0.14951806698648826,0.1329959068702962,0.0830685269134281,0.050605167026099206,0.0158795827648431,0.41662778926983846,2.44,0.05039390871880639,0.06517318779983275,0.07820958584569342,0.11692267065710137,0.010510100787817438,0.04116016020421636,0.278235993134105,2.97,0.46907266405527925,0.052444874785440784,0.2865366841248185,0.13009110514502004,0.2936050349896571,0.00029488860525505044,0.1335152502090577,0.003839848422164517,0.002200607367633467
1017,1,33254,1.5168100078186082,0.08080230949660192,56.4,0.6047994226258495,0.39865880796295183,0.0020749383532808084,0.005052023816683707,0.0003007157033740302,0.01611836170084802,0.006435316052204246,0.011577554579900163,0.4920611054309256,0.5368376736633187,0.0587297768689481,0.061496361339989175,0.06727010284477056,0.06910446863535213,0.05788777289950081,0.11430203885246888,0.1332771997353702,0.15183135863354785,0.143411318939075,0.09346244060864858,0.054940759006435316,0.023185180730137728,0.41898718951103625,2.42,0.05406868346665063,0.0678113911108438,0.06630781259397366,0.11204667107716365,0.012329343838335238,0.04859565766524328,0.2824021170385517,2.97,0.5113369820172009,0.09234979250616467,0.2959944668310579,0.12299272267997835,0.3126841883683166,0.0015923970048715942,0.15480844409695074,0.0027552456847296566,0.0037890178625127804
1019,1,26196,0.25965796304779354,0.014429683921209345,43.7,0.9192624828218049,0.04611391052069018,0.005153458543289051,0.002061383417315621,3.817376698732631e-05,0.012215605435944419,0.004695373339441136,0.014773247824095281,0.49198350893266146,0.500114521300962,0.05306153611238357,0.058176820888685296,0.06222324018934188,0.06375019086883493,0.0480225988700565,0.09707588944877081,0.12902733241716294,0.15345854328905176,0.1497556878912811,0.11104748816613223,0.05203084440372576,0.01446785768819667,0.40563444800732934,2.42,0.05183997556878913,0.05367231638418079,0.08199725148877691,0.14223545579477784,0.011032218659337303,0.025996335318369215,0.28603603603603606,2.89,0.6209726675828371,0.21533821957550772,0.31856008550923803,0.0870743624980913,0.26866697205680257,0.0005981394869445716,0.1166590319132692,0.003224142159108261,0.0011833867766071157
