Cluster_No,features,mean,cv
4,AGE_55_64,6357.0304380103935,0.09401779641828598
0,AGE_65_74,4280.923547400612,0.1667166497452812
1,AGE_65_74,2361.514991181658,0.16904760738507066
2,AGE_65_74,17041.605263157893,0.23915409745496172
3,AGE_65_74,10314.628458498024,0.24537737558630682
4,AGE_65_74,3975.3778767631775,0.13807562973612833
0,AGE_75_84,2609.091743119266,0.18468769719697972
1,AGE_75_84,1455.79012345679,0.23420432523846438
2,AGE_75_84,10150.058823529413,0.2881868399157902
3,AGE_75_84,6018.754940711462,0.30972080234447436
4,AGE_75_84,2451.367483296214,0.17574955783968785
0,AGE_85_UP,1045.5993883792048,0.249711212714567
1,AGE_85_UP,586.984126984127,0.3848626828457681
2,AGE_85_UP,4351.730650154799,0.37139160239504837
3,AGE_85_UP,2410.300395256917,0.3799237208443033
4,AGE_85_UP,1037.308834446919,0.3030445039245445
0,HOUSEHOLDS,23141.605504587154,0.09450550006961843
1,HOUSEHOLDS,8482.350970017636,0.08130602560266609
2,HOUSEHOLDS,97916.84055727554,0.1102178179957795
3,HOUSEHOLDS,60532.992094861664,0.12972272111326677
4,HOUSEHOLDS,19126.096510764663,0.06516924659154821
0,AVE_HH_SZ,2.5000305810397547,0.043636000107586545
1,AVE_HH_SZ,2.2524691358024684,0.04208416249540284
2,AVE_HH_SZ,2.5528328173374604,0.07110947371300563
3,AVE_HH_SZ,2.8994861660079048,0.08752087126922778
4,AVE_HH_SZ,2.4567631774313283,0.040056636760606903
0,HSEHLD_1_M,3053.006116207951,0.17845977933380391
1,HSEHLD_1_M,1146.7795414462082,0.22935291740122074
2,HSEHLD_1_M,11652.24613003096,0.28379867678728754
3,HSEHLD_1_M,6356.683794466403,0.3046569320668692
4,HSEHLD_1_M,2317.2412769116554,0.15884599814439965
0,HSEHLD_1_F,3786.4250764525996,0.18471336430452287
1,HSEHLD_1_F,1401.8342151675486,0.2347973299440778
2,HSEHLD_1_F,14738.560371517027,0.2800174155318097
3,HSEHLD_1_F,7363.0,0.27572679159103947
4,HSEHLD_1_F,2881.136599851522,0.16889251446867998
0,MARHH_CHD,3952.7400611620797,0.14608020024347848
1,MARHH_CHD,1316.4744268077602,0.16432968929764133
2,MARHH_CHD,21506.730650154797,0.18044353727432136
3,MARHH_CHD,16077.122529644268,0.1703431875909125
4,MARHH_CHD,3909.956941351151,0.10527993755786202
0,MARHH_NO_C,5463.948012232416,0.15540258681175706
1,MARHH_NO_C,2972.962962962963,0.1074038259648025
2,MARHH_NO_C,25193.831269349845,0.17045402805029244
3,MARHH_NO_C,14105.110671936758,0.2338614589644035
4,MARHH_NO_C,5883.36005939124,0.10304268055799212
0,MHH_CHILD,645.4862385321101,0.14583956550336546
1,MHH_CHILD,208.65255731922397,0.2523123023838364
2,MHH_CHILD,2597.5650154798764,0.2079012107537596
3,MHH_CHILD,2192.5533596837945,0.335810121936102
4,MHH_CHILD,536.9539717891611,0.17549012256338212
0,FHH_CHILD,2956.7522935779816,0.23405894304885339
1,FHH_CHILD,487.69312169312167,0.2911199412500527
2,FHH_CHILD,8074.034055727554,0.28192731098014207
3,FHH_CHILD,6123.778656126482,0.36590453158787567
4,FHH_CHILD,1410.9510022271716,0.21924607677689012
0,FAMILIES,15075.645259938838,0.08586426955016348
1,FAMILIES,5429.291005291006,0.07216671470075542
2,FAMILIES,63911.701238390095,0.10538814215415863
3,FAMILIES,43098.976284584984,0.10629782308219417
4,FAMILIES,12868.26280623608,0.06095407239073031
0,AVE_FAM_SZ,3.0522324159021395,0.032255830666521636
1,AVE_FAM_SZ,2.7857319223985835,0.032330985240292244
2,AVE_FAM_SZ,3.0653560371517,0.04536879030404356
3,AVE_FAM_SZ,3.3909486166007907,0.06811797161242407
4,AVE_FAM_SZ,2.9595397178916083,0.027077497956368615
0,HSE_UNITS,26576.44648318043,0.1312378312043508
1,HSE_UNITS,11798.435626102293,0.2599846297241367
2,HSE_UNITS,108573.4907120743,0.18797953528884526
3,HSE_UNITS,66516.13438735178,0.20511899511281537
4,HSE_UNITS,21788.244988864142,0.11510342130164224
0,VACANT,3434.840978593272,0.4717404032048299
1,VACANT,3316.084656084656,0.8077977144863909
2,VACANT,10656.650154798761,1.1571049832207616
3,VACANT,5983.142292490119,0.9404610255814047
4,VACANT,2662.14847809948,0.6522441067628078
0,OWNER_OCC,14848.60244648318,0.14287760865824709
1,OWNER_OCC,6360.243386243386,0.10305931965914955
2,OWNER_OCC,61609.0092879257,0.14614516528698046
3,OWNER_OCC,35553.06324110672,0.19186980111908836
4,OWNER_OCC,13901.678544914625,0.08559726798809383
0,RENTER_OCC,8293.003058103975,0.26879290742400824
1,RENTER_OCC,2122.1075837742505,0.3454956126286361
2,RENTER_OCC,36307.831269349845,0.36146603641942443
3,RENTER_OCC,24979.92885375494,0.2877766920533223
4,RENTER_OCC,5224.417965850037,0.21047611944081127
0,Prevalence of obesity,15799.425076452599,0.14242078643926867
1,Prevalence of obesity,4604.391534391534,0.15534936756055928
2,Prevalence of obesity,56138.49845201238,0.18454784011339237
3,Prevalence of obesity,38314.74308300395,0.1614430587096286
4,Prevalence of obesity,12036.628062360802,0.13762592548632802
0,Hypertension,99.08124298105814,0.45943510453034625
1,Hypertension,46.72630651498816,0.3540103184240298
2,Hypertension,282.1033905943109,0.378931950554657
3,Hypertension,263.73233707292565,0.3683050004267027
4,Hypertension,60.462807911472154,0.4087475011166184
0,Diabetes,6100.914373088685,0.25930387378114494
1,Diabetes,1853.259562062746,0.3345276707615812
2,Diabetes,19386.50952225728,0.308756906733028
3,Diabetes,12965.189723320158,0.36717896276629436
4,Diabetes,4384.110616184113,0.2981372245490048
0,CVD,175.80632441030025,0.19444960756549307
1,CVD,69.15903850862915,0.228711889689385
2,CVD,535.6746692768724,0.21951049127635947
3,CVD,410.5103377494558,0.23476741292929254
4,CVD,118.98095790862047,0.22115516925808956
0,HIV/AIDS,106.29755443205767,0.6177343706318771
1,HIV/AIDS,48.29984295393601,0.9466235630962806
2,HIV/AIDS,203.34271522744643,0.771274432526089
3,HIV/AIDS,96.04403111613152,0.6520837687990255
4,HIV/AIDS,55.67339442072307,0.6661075791119048
