State,stateFIPS,County,countyFIPS,Total Unauthorized Population
United States,,,,"11,300,000"
California,6,Los Angeles County,6037,"1,051,000"
Texas,48,Harris County,48201,"412,000"
Illinois,17,Cook County,17031,"307,000"
California,6,Orange County,6059,"271,000"
New York,36,Queens County,36081,"256,000"
Texas,48,Dallas County,48113,"247,000"
California,6,San Diego County,6073,"211,000"
New York,36,Kings County,36047,"191,000"
California,6,Riverside County,6065,"163,000"
Arizona,4,Maricopa County,4013,"158,000"
Florida,12,Miami-Dade-Monroe Counties,12086-12087,"156,000"
California,6,San Bernardino County,6071,"141,000"
Massachusetts,25,"Boston Area, Suffolk County NECTA*",25025,"141,000"
California,6,Santa Clara County,6085,"138,000"
New York,36,Bronx County,36005,"120,000"
California,6,Alameda County,6001,"109,000"
Texas,48,Tarrant County,48439,"109,000"
Nevada,32,Clark County,32003,"106,000"
Texas,48,Hidalgo County,48215,"102,000"
Florida,12,Broward County,12011,"98,000"
New York,36,New York County,36061,"90,000"
Virginia,51,Fairfax County,51059,"88,000"
Washington,53,King County,53033,"86,000"
Maryland,24,Montgomery County,24031,"85,000"
New Jersey,34,Hudson County,34017,"84,000"
California,6,Fresno County,6019,"82,000"
Maryland,24,Prince George's County,24033,"79,000"
Texas,48,Bexar County,48029,"77,000"
California,6,Monterey-San Benito Counties,06053-06069,"75,000"
California,6,Kern County,6029,"75,000"
Colorado,8,Suburban Denver Counties**,08001-08014-08019-08035-08039-08047-08059--08005-08013-08123,"74,000"
Texas,48,Travis County,48453,"73,000"
Florida,12,Palm Beach County,12099,"72,000"
Georgia,13,Gwinnett County,13135,"72,000"
California,6,Contra Costa County,6013,"69,000"
California,6,Ventura County,6111,"69,000"
Texas,48,El Paso County,48141,"67,000"
New Jersey,34,Middlesex County,34023,"66,000"
California,6,Sacramento County,6067,"64,000"
New York,36,Suffolk County,36103,"63,000"
New York,36,Westchester County,36119,"61,000"
New Jersey,34,Bergen County,34003,"59,000"
California,6,San Mateo County,6081,"58,000"
New Jersey,34,Essex County,34013,"58,000"
New York,36,Nassau County,36059,"58,000"
California,6,San Joaquin County,6077,"56,000"
North Carolina,37,Mecklenburg County,37119,"53,000"
Florida,12,Orange County,12095,"52,000"
New Jersey,34,Union County,34039,"52,000"
Connecticut,9,Fairfield County,9001,"51,000"
California,6,San Francisco County,6075,"49,000"
California,6,Tulare County,6107,"48,000"
California,6,Santa Barbara County,6083,"46,000"
Florida,12,Hillsborough County,12057,"43,000"
Utah,49,Salt Lake County,49035,"43,000"
New Jersey,34,Passaic County,34031,"42,000"
Georgia,13,Cobb County,13067,"40,000"
North Carolina,37,Wake County,37183,"40,000"
Pennsylvania,42,Philadelphia County,42101,"40,000"
Texas,48,Cameron County,48061,"40,000"
Colorado,8,Denver County,8031,"39,000"
Illinois,17,Kane County,17089,"38,000"
Texas,48,Collin County,48085,"38,000"
Illinois,17,DuPage County,17043,"37,000"
Virginia,51,Prince William County,51153,"37,000"
California,6,Stanislaus County,6099,"36,000"
Georgia,13,DeKalb County,13089,"36,000"
Texas,48,Fort Bend County,48157,"36,000"
Illinois,17,Lake County,17097,"35,000"
Georgia,13,Fulton County,13121,"34,000"
Minnesota,27,Hennepin County,27053,"34,000"
Oklahoma,40,Oklahoma County,40109,"34,000"
Michigan,26,Wayne County,26163,"33,000"
Ohio,39,Franklin County,39049,"33,000"
California,6,Sonoma County,6097,"31,000"
Tennessee,47,Davidson County,47037,"31,000"
Indiana,18,Marion County,18097,"30,000"
Texas,48,Webb County,48479,"30,000"
Texas,48,Denton County,48121,"30,000"
Arizona,4,Pima County,4019,"29,000"
Wisconsin,55,Milwaukee County,55079,"28,000"
California,6,Merced County,6047,"27,000"
Florida,12,Lee County,12071,"27,000"
Louisiana,22,Orleans-Jefferson-Plaquemines-St. Bernard Parishes,22071-22051-22075-22087,"27,000"
Hawaii,15,Honolulu County,15003,"26,000"
Michigan,26,Oakland County,26125,"26,000"
Oregon,41,Washington County,41067,"26,000"
Oregon,41,Multnomah County,41051,"26,000"
Tennessee,47,Shelby County,47157,"26,000"
Florida,12,Collier County,12021,"25,000"
New Jersey,34,Mercer County,34021,"25,000"
Texas,48,Montgomery County,48339,"25,000"
Washington,53,Snohomish County,53061,"25,000"
New Jersey,34,Monmouth County,34025,"24,000"
Rhode Island,44,Providence County,44007,"23,000"
Connecticut,9,New Haven County,9009,"22,000"
Maryland,24,Baltimore County,24005,"22,000"
New Jersey,34,Morris County,34027,"22,000"
New Mexico,35,Bernalillo-Valencia Counties,35001-35061,"22,000"
Washington,53,Yakima County,53077,"22,000"
California,6,Solano County,6095,"21,000"
Oklahoma,40,Tulsa County,40143,"21,000"
Connecticut,9,Hartford County,9003,"20,000"
Georgia,13,Hall County,13139,"20,000"
California,6,Santa Cruz County,6087,"19,000"
California,6,Imperial County,6025,"19,000"
Illinois,17,Will County,17197,"19,000"
North Carolina,37,Durham County,37063,"19,000"
Virginia,51,Loudoun County,51107,"19,000"
Nebraska,31,Douglas County,31055,"18,000"
North Carolina,37,Guilford County,37081,"18,000"
Oregon,41,Marion County,41047,"18,000"
Washington,53,Pierce County,53053,"18,000"
California,6,Madera County,6039,"17,000"
Florida,12,Polk County,12105,"17,000"
Georgia,13,Clayton County,13063,"17,000"
Washington,53,Benton-Franklin-Walla Walla Counties,53005-53021-53071,"17,000"
Maryland,24,Baltimore City,24510,"16,000"
Michigan,26,Kent County,26081,"16,000"
Nevada,32,Washoe County,32031,"16,000"
New Jersey,34,Somerset County,34035,"16,000"
New Jersey,34,Ocean County,34029,"16,000"
Virginia,51,Arlington County,51013,"16,000"
Florida,12,Pinellas County,12103,"15,000"
New York,36,Richmond County,36085,"15,000"
New York,36,Rockland County,36087,"15,000"
North Carolina,37,Forsyth County,37067,"15,000"
South Carolina,45,Greenville-Laurens Counties,45045-45059,"15,000"
Texas,48,Williamson County,48491,"15,000"
Virginia,51,Alexandria City,51510,"15,000"
California,6,Marin County,6041,"14,000"
California,6,Kings County,6031,"14,000"
Delaware,10,New Castle County,10003,"14,000"
Florida,12,Duval County,12031,"14,000"
Missouri,29,Jackson County,29095,"14,000"
New Jersey,34,Camden County,34007,"14,000"
