State,stateFIPS,County,countyFIPS,Total Unauthorized Population
New Jersey,34,Atlantic County,34001,"14,000"
Pennsylvania,42,Chester County,42029,"14,000"
Utah,49,Utah County,49049,"14,000"
Arizona,4,Yuma County,4027,"13,000"
Arkansas,5,Washington County,5143,"13,000"
Arkansas,5,Benton County,5007,"13,000"
California,6,Yolo County,6113,"13,000"
Florida,12,Manatee County,12081,"13,000"
Idaho,16,Ada-Canyon-Gem-Owyhee-Payette-Washington Counties,16001-16027-16045-16073-16075-16087,"13,000"
Kansas,20,Sedgwick-Butler-Harvey Counties,20173-20015-20079,"13,000"
Maryland,24,Anne Arundel County,24003,"13,000"
Ohio,39,Cuyahoga County,39035,"13,000"
Pennsylvania,42,Montgomery County,42091,"13,000"
South Carolina,45,Charleston-Berkeley-Dorchester Counties,45019-45015-45035,"13,000"
Alabama,1,Jefferson County,1073,"12,000"
California,6,Napa County,6055,"12,000"
Colorado,8,El Paso-Teller Counties,08041-08119,"12,000"
Kansas,20,Johnson County,20091,"12,000"
Massachusetts,25,"Worcester Area, Worcester County NECTA*",25027,"12,000"
New Jersey,34,Cumberland-Salem Counties,34011-34033,"12,000"
Alabama,1,Madison-Marshall-Limestone Counties,01089-01095-01083,"11,000"
Florida,12,Osceola County,12097,"11,000"
Georgia,13,Whitfield County,13313,"11,000"
Kansas,20,Wyandotte County,20209,"11,000"
Kentucky,21,Fayette County,21067,"11,000"
New Mexico,35,Dona Ana County,35013,"11,000"
Ohio,39,Hamilton County,39061,"11,000"
Texas,48,Brazoria County,48039,"11,000"
Texas,48,Jefferson County,48245,"11,000"
California,6,San Luis Obispo County,6079,"10,000"
Kentucky,21,Jefferson County,21111,"10,000"
Maryland,24,Howard County,24027,"10,000"
Michigan,26,Macomb County,26099,"10,000"
Missouri,29,St. Louis County,29189,"10,000"
New York,36,Orange County,36071,"10,000"
Texas,48,Brazos County,48041,"10,000"
Texas,48,Galveston County,48167,"10,000"
Washington,53,Grant-Kittitas Counties,53025-53037,"10,000"
California,6,Sutter-Yuba Counties,06101-06115,"9,000"
California,6,Placer County,6061,"9,000"
Michigan,26,Washtenaw County,26161,"9,000"
North Carolina,37,Union-Anson Counties,37179-37007,"9,000"
Pennsylvania,42,Allegheny County,42003,"9,000"
Texas,48,McLennan County,48309,"9,000"
Texas,48,Nueces County,48355,"9,000"
Washington,53,Clark County,53011,"9,000"
Florida,12,Seminole County,12117,"8,000"
Florida,12,Sarasota County,12115,"8,000"
Georgia,13,Forsyth County,13117,"8,000"
New Jersey,34,Burlington County,34005,"8,000"
Texas,48,Austin-Matagorda-Waller-Wharton-Colorado Counties,48015-48321-48473-48481-48089,"8,000"
Virginia,51,Virginia Beach City,51810,"8,000"
Massachusetts,25,"New Bedford Area, Bristol County NECTA*",25005,"7,000"
New York,36,Erie County,36029,"7,000"
New York,36,Monroe County,36055,"7,000"
Texas,48,Smith County,48423,"7,000"
Texas,48,Potter County,48375,"7,000"
Virginia,51,Chesterfield County,51041,"7,000"
