FIPS,STATE_FIPS,population,covid_cases,covid_deaths
6099,6,550660,209954,3609
6101,6,96971,16961,302
6103,6,65084,4670,75
6105,6,12285,137,0
6107,6,466195,314036,9883
6109,6,54478,2727,4
6111,6,846006,222221,3908
6113,6,220500,46153,2454
6115,6,78668,8960,155
0,8,0,9516,134
8001,8,517421,352903,12768
8003,8,16233,11238,358
8005,8,656590,460685,28844
8007,8,14029,1126,0
8009,8,3581,1418,0
8011,8,5577,251,0
8013,8,326196,114744,6335
8014,8,70465,26908,2433
8015,8,20356,9888,1801
8017,8,1831,431,0
8019,8,9700,1962,99
8021,8,8205,764,0
8023,8,3887,1230,0
8025,8,6061,5248,131
8027,8,5068,349,0
8029,8,31162,7053,112
8031,8,727211,609637,31691
8033,8,2055,12,0
8035,8,351154,89261,4442
8037,8,55127,74508,912
8039,8,26729,5391,194
8041,8,720403,213075,10332
8043,8,47839,3636,0
8045,8,60061,24382,269
8047,8,6243,539,0
8049,8,15734,1701,30
8051,8,17462,20553,616
8053,8,820,344,0
8055,8,6897,365,28
8057,8,1392,174,0
8059,8,582881,245761,16759
8061,8,1406,0,0
8063,8,7097,3060,277
8065,8,8127,3824,0
8067,8,56221,10407,93
8069,8,356899,69808,2699
8071,8,14506,681,0
8073,8,5701,396,0
8075,8,22409,53034,376
8077,8,154210,9352,6
8079,8,769,627,0
8081,8,13283,1055,19
8083,8,26183,5386,314
8085,8,42758,18307,1229
8087,8,29068,58506,3715
8089,8,18278,1948,107
8091,8,4952,917,111
8093,8,18845,2412,12
8095,8,4265,1326,0
8097,8,17767,9341,246
8099,8,12172,1840,0
8101,8,168424,32332,2116
8103,8,6324,262,0
8105,8,11267,4493,73
8107,8,25638,7498,574
8109,8,6824,6481,114
8111,8,728,113,0
8113,8,8179,3445,0
8115,8,2248,125,0
8117,8,31011,23994,248
8119,8,25388,4574,236
8121,8,4908,3238,0
8123,8,324492,265644,13292
8125,8,10019,3515,0
0,9,0,35638,148
9001,9,943332,1611036,124914
9003,9,891720,1013728,118433
9005,9,180333,140151,12570
9007,9,162436,113510,15079
9009,9,854757,1141699,92487
9011,9,265206,107440,8180
9013,9,150721,80645,5934
9015,9,116782,44981,1171
0,10,0,5855,16
10001,10,180786,146803,6840
10003,10,558753,412954,17695
10005,10,234225,412002,13496
11001,11,705749,891332,45306
0,12,0,14537,4
12001,12,269043,99269,883
12003,12,29210,7671,383
12005,12,174705,54073,503
12007,12,28201,8618,216
12009,12,601942,141859,2015
12011,12,1952778,1540176,35467
12013,12,14105,8121,382
12015,12,188910,67094,5955
12017,12,149657,29819,1374
12019,12,219252,77132,3115
12021,12,384902,315371,5947
12023,12,71686,38736,287
12027,12,38001,41069,886
12029,12,16826,6654,215
12031,12,957755,535157,5857
12033,12,318316,194991,3633
12035,12,115081,29381,477
12037,12,12125,1517,7
12039,12,45660,36990,427
12041,12,18582,7188,2
12043,12,13811,10795,133
12045,12,13639,3885,0
12047,12,14428,24835,101
12049,12,26937,26511,135
12051,12,42022,63551,1745
12053,12,193920,37642,689
12055,12,106221,29605,1101
12057,12,1471968,792913,11212
12059,12,19617,9976,17
12061,12,159923,53290,1377
12063,12,46414,34200,270
12065,12,14246,5306,330
12067,12,8422,2361,0
12069,12,367118,110559,1995
12071,12,770577,462125,12954
12073,12,293582,103247,714
12075,12,41503,13083,79
12077,12,8354,19771,67
12079,12,18493,16461,317
12081,12,403253,241156,10633
12083,12,365579,76427,1163
12085,12,161000,133451,2081
12086,12,2716940,3462440,80699
12087,12,74228,28761,458
12089,12,88625,23026,162
12091,12,210738,62964,747
12093,12,42168,24066,36
12095,12,1393452,768253,6101
12097,12,375751,198739,2309
12099,12,1496770,1116531,42230
12101,12,553947,155822,2039
12103,12,974996,464069,13580
12105,12,724777,312454,8231
12107,12,74521,34960,537
12109,12,264672,83194,811
12111,12,328297,133916,4300
12113,12,184313,62918,1070
12115,12,433742,146064,8108
12117,12,471826,183450,1856
12119,12,132420,39497,1818
12121,12,44417,36797,1892
12123,12,21569,6657,45
12125,12,15237,5541,115
12127,12,553284,181965,4870
12129,12,33739,8967,109
12131,12,74071,26419,681
12133,12,25473,10351,658
0,13,0,527055,3911
13001,13,18386,21091,1174
13003,13,8165,9292,168
13005,13,11164,16721,305
13007,13,3038,3780,251
13009,13,44890,44043,2485
13011,13,19234,9925,57
13013,13,83240,41495,1817
13015,13,107738,66602,4120
13017,13,16700,12012,76
13019,13,19397,8518,0
13021,13,153159,87508,2920
13023,13,12873,5316,52
13025,13,19109,7907,245
13027,13,15457,12692,948
13029,13,39627,14127,478
13031,13,79608,25815,362
13033,13,22383,14771,538
13035,13,24936,24999,2435
13037,13,6189,14619,531
13039,13,54666,13724,146
13043,13,10803,4113,7
13045,13,119992,72218,3046
13047,13,67580,20664,318
13049,13,13392,6162,127
13051,13,289430,119465,2720
13053,13,10907,22297,14
13055,13,24789,4630,205
13057,13,258773,115242,3449
13059,13,128331,50388,1621
13061,13,2834,4705,219
13063,13,292256,176207,6025
13065,13,6618,7304,189
13067,13,760141,432107,19405
13069,13,43273,45550,1386
13071,13,45600,68367,1557
13073,13,156714,47355,824
13075,13,17270,10988,179
13077,13,148509,55817,1095
13079,13,12404,3673,0
13081,13,22372,25449,895
13083,13,16116,4708,117
13085,13,26108,12683,211
13087,13,26404,22052,545
13089,13,759297,509864,12936
13091,13,20605,7947,168
13093,13,13390,18630,1200
13095,13,87956,205984,15608
13097,13,146343,83620,2761
13099,13,10190,27587,2911
13101,13,4006,11668,0
13103,13,64296,14703,115
13105,13,19194,10000,8
13107,13,22646,9128,199
13109,13,10654,2792,6
13111,13,26188,8153,105
13113,13,114421,34856,1570
13115,13,98498,43374,1480
13117,13,244252,72024,1337
13119,13,23349,13218,113
13121,13,1063937,665496,25238
13123,13,31369,17459,108
13125,13,2971,518,0
13127,13,85292,57670,439
13129,13,57963,30564,1682
13131,13,24633,15602,386
13133,13,18324,9493,723
13135,13,936250,626583,14015
13137,13,45328,56584,2592
13139,13,204441,281817,4746
13141,13,8457,17473,2122
13143,13,29792,6804,351
13145,13,35236,22497,690
13147,13,26205,5822,0
13149,13,11923,4564,251
13151,13,234561,110004,2537
13153,13,157863,58406,2265
13155,13,9416,5150,98
13157,13,72977,29897,681
13159,13,14219,5488,69
13161,13,15115,8214,186
13163,13,15362,9618,167
13165,13,8676,7144,651
13167,13,9643,9328,218
13169,13,28735,7394,14
13171,13,19077,9131,366
13173,13,10423,7831,229
13175,13,47546,18975,113
13177,13,29992,41658,2428
13179,13,61435,13675,73
13181,13,7921,3399,76
13183,13,19559,3148,69
13185,13,117406,87094,877
13187,13,33610,11786,202
13189,13,21312,9707,587
13191,13,14378,3550,66
13193,13,12947,11161,678
13195,13,29880,9006,252
13197,13,8359,6839,202
13199,13,21167,14546,203
13201,13,5718,4906,0
13205,13,21863,44127,3720
13207,13,27578,14262,1177
13209,13,9172,2738,0
13211,13,19276,5505,0
13213,13,40096,16234,123
13215,13,195769,134233,3168
13217,13,111744,53936,1189
13219,13,40280,15061,715
13221,13,15259,8189,594
13223,13,168667,50354,1292
13225,13,27546,10410,623
13227,13,32591,7772,411
13229,13,19465,15237,399
13231,13,18962,7874,263
13233,13,42613,18739,91
13235,13,11137,4703,180
13237,13,22119,12712,947
13239,13,2299,1380,105
13241,13,17137,4379,179
13243,13,6778,20352,2250
13245,13,202518,96865,3678
13247,13,90896,43153,932
13249,13,5257,2325,114
13251,13,13966,6532,396
13253,13,8090,5044,209
13255,13,66703,37282,2327
13257,13,25925,19330,366
13259,13,6621,9737,152
13261,13,29524,53993,4432
13263,13,6195,5664,199
13265,13,1537,160,0
13267,13,25286,8909,5
13269,13,8020,2912,226
13271,13,15860,8267,165
13273,13,8531,23674,2687
13275,13,44451,40718,3011
13277,13,40644,49884,1875
13279,13,26830,16133,456
13281,13,12037,3993,92
13283,13,6901,2184,57
13285,13,69922,84489,2120
13287,13,7985,14125,1358
13289,13,8120,2426,64
13291,13,24511,6589,232
13293,13,26320,32230,3504
13295,13,69761,21560,486
13297,13,94593,33692,1813
13299,13,35734,37220,1460
13301,13,5254,2315,0
13303,13,20374,10987,103
13305,13,29927,9183,13
13307,13,2607,1839,122
13309,13,7855,3002,4
13311,13,30798,12603,294
13313,13,104628,82518,1051
13315,13,8635,11563,1314
13317,13,9777,5841,107
13319,13,8954,7561,597
13321,13,20247,27086,1922
0,15,0,1502,16
15001,15,201513,9281,0
15003,15,974563,67131,1270
15005,15,86,0,0
15007,15,72293,3185,0
15009,15,167417,13733,606
0,16,0,60,2
16001,16,481587,208846,2455
16003,16,4294,708,0
16005,16,87808,7490,60
16007,16,6125,84,0
16009,16,9298,1466,0
16011,16,46811,3635,32
16013,16,23021,61204,595
16015,16,7831,426,0
16017,16,45739,2773,0
16019,16,119062,11638,44
16021,16,12245,309,0
16023,16,2597,0,0
16025,16,1106,120,0
16027,16,229849,97808,931
16029,16,7155,715,0
16031,16,24030,14949,120
16033,16,845,0,0
16035,16,8756,201,0
16037,16,4315,352,0
16039,16,27511,5639,195
16041,16,13876,1408,0
16043,16,13099,807,0
16045,16,18112,3437,0
16047,16,15179,5251,44
16049,16,16667,672,0
16051,16,29871,1907,8
16053,16,24412,19309,344
16055,16,165697,30018,41
16057,16,40108,1702,0
16059,16,8027,210,0
16061,16,3838,0,0
16063,16,5366,3630,0
16065,16,39907,3790,0
16067,16,21039,11994,9
16069,16,40408,9121,1947
16071,16,4531,171,0
16073,16,11823,4036,0
16075,16,23951,7810,193
16077,16,7681,1079,0
16079,16,12882,515,0
16081,16,12142,1947,0
16083,16,86878,51390,2111
16085,16,11392,1084,13
16087,16,10194,6529,44
0,17,0,15870,99
17001,17,65435,9593,89
17003,17,5761,1529,0
17005,17,16426,1433,107
17007,17,53544,43619,1683
17009,17,6578,842,0
17011,17,32628,2620,114
17013,17,4739,153,0
17015,17,14305,1752,218
17017,17,12147,8864,251
17019,17,209689,68619,1029
17021,17,32304,4414,452
17023,17,15441,1801,0
17025,17,13184,316,0
17027,17,37562,19692,1324
17029,17,50621,13053,1158
17031,17,5150233,7720269,365387
17033,17,18667,1542,0
