,State,stateFIPS,County,countyFIPS,Total Unauthorized Population
137,New Jersey,34.0,Atlantic County,34001,14000.0
138,Pennsylvania,42.0,Chester County,42029,14000.0
135,Missouri,29.0,Jackson County (including other portions of Kansas City),29095,14000.0
134,Florida,12.0,Duval County,12031,14000.0
133,Delaware,10.0,New Castle County,10003,14000.0
139,Utah,49.0,Utah County,49049,14000.0
131,California,6.0,Marin County,6041,14000.0
136,New Jersey,34.0,Camden County,34007,14000.0
132,California,6.0,Kings County,6031,14000.0
31,Colorado,8.0,Adams County,8001,13332.476981034315
128,South Carolina,45.0,Greenville County,45045,13287.081137326893
84,Louisiana,22.0,Jefferson Parish,22051,13075.354000434452
149,Pennsylvania,42.0,Montgomery County,42091,13000.0
143,California,6.0,Yolo County,6113,13000.0
148,Ohio,39.0,Cuyahoga County,39035,13000.0
147,Maryland,24.0,Anne Arundel County,24003,13000.0
144,Florida,12.0,Manatee County,12081,13000.0
140,Arizona,4.0,Yuma County,4027,13000.0
142,Arkansas,5.0,Benton County,5007,13000.0
141,Arkansas,5.0,Washington County,5143,13000.0
151,Alabama,1.0,Jefferson County,1073,12000.0
155,Massachusetts,25.0,Worcester County,25027,12000.0
154,Kansas,20.0,Johnson County,20091,12000.0
152,California,6.0,Napa County,6055,12000.0
84,Louisiana,22.0,Orleans Parish,22071,11795.036939662605
153,Colorado,8.0,El Paso County,8041,11591.499495166876
163,Ohio,39.0,Hamilton County,39061,11000.0
165,Texas,48.0,Jefferson County,48245,11000.0
164,Texas,48.0,Brazoria County,48039,11000.0
159,Georgia,13.0,Whitfield County,13313,11000.0
162,New Mexico,35.0,Doña Ana County,35013,11000.0
161,Kentucky,21.0,Fayette County,21067,11000.0
160,Kansas,20.0,Wyandotte County,20209,11000.0
158,Florida,12.0,Osceola County,12097,11000.0
146,Kansas,20.0,Sedgwick County,20173,10866.118545730196
168,Maryland,24.0,Howard County,24027,10000.0
166,California,6.0,San Luis Obispo County,6079,10000.0
173,Texas,48.0,Galveston County,48167,10000.0
169,Michigan,26.0,Macomb County,26099,10000.0
172,Texas,48.0,Brazos County,48041,10000.0
170,Missouri,29.0,St. Louis County,29189,10000.0
167,Kentucky,21.0,Jefferson County,21111,10000.0
171,New York,36.0,Orange County,36071,10000.0
117,Washington,53.0,Benton County,53005,9641.786820285704
29,California,6.0,San Benito County,6069,9480.567312510944
31,Colorado,8.0,Douglas County,8035,9048.246247829376
182,Washington,53.0,Clark County,53011,9000.0
181,Texas,48.0,Nueces County,48355,9000.0
179,Pennsylvania,42.0,Allegheny County,42003,9000.0
177,Michigan,26.0,Washtenaw County,26161,9000.0
176,California,6.0,Placer County,6061,9000.0
180,Texas,48.0,McLennan County,48309,9000.0
156,New Jersey,34.0,Cumberland County,34011,8467.307184114161
31,Colorado,8.0,Boulder County,8013,8405.149117073852
31,Colorado,8.0,Weld County,8123,8361.241852436966
178,North Carolina,37.0,Union County,37179,8167.575339096877
145,Idaho,16.0,Ada County,16001,8072.858587056876
185,Georgia,13.0,Forsyth County,13117,8000.0
183,Florida,12.0,Seminole County,12117,8000.0
184,Florida,12.0,Sarasota County,12115,8000.0
188,Virginia,51.0,Virginia Beach City,51810,8000.0
186,New Jersey,34.0,Burlington County,34005,8000.0
157,Alabama,1.0,Madison County,1089,7214.23395791051
