countyFIPS,StateFIPS,population,SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,HOUSEHOLDS,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,Prevalence of obesity,Hypertension,Diabetes,CVD,HIV/AIDS
1001,1.0,55869.0,604.13,42855.0,9643.0,231.99999999999997,474.0,32.0,1310.0,466.0,869.0,26569.0,28001.999999999996,3578.9999999999995,3991.0,4290.0,4290.0,3080.0,6487.0,8243.0,8205.0,5860.0,4013.0000000000005,1981.9999999999998,551.0,20221.0,2012.0,2429.0,5522.0,5845.0,558.0,1821.0000000000002,15064.0,22135.0,1914.0,15247.999999999998,4973.0,13538.0,68.945848,4497.0,153.853976,108.0
1003,1.0,223234.0,1640.33,156153.0,17105.0,1216.0,1348.0,89.0,7992.0,3631.0,2723.0,89196.0,93069.0,11158.0,11599.0,11926.0,11600.0,9449.0,20956.0,23553.0,26921.0,24535.0,17803.0,9532.0,3233.0,73180.0,8096.0,10276.0,15778.0,24135.0,1848.0000000000002,5272.0,51151.0,104061.0,30881.0,53071.0,20109.0,48843.0,170.436276,16824.0,454.75322399999993,305.0
1005,1.0,24686.0,904.49,13179.999999999998,12874.999999999998,114.0,107.0,29.0,1387.0,894.0,258.0,14576.0,12881.0,1702.0,1642.0,1599.0000000000002,1731.0,1794.0000000000002,3818.0,3628.0,4018.0,3616.0,2238.0,1228.0,443.0,9820.0,1224.0,1573.0,1628.0,2665.0,250.0,1348.0,6721.0,11829.0,2009.0,6555.999999999999,3264.0,8253.0,25.77219,3485.0,85.51557,92.0
1007,1.0,22394.0,626.18,17381.0,5047.0,64.0,21.999999999999996,13.0,405.99999999999994,185.0,202.99999999999997,12301.0,10614.0,1378.0,1405.0000000000002,1440.0,1542.9999999999998,1491.0,3249.0000000000005,3382.0,3386.0,2735.0,1723.0,904.0,279.0,7953.0,898.0,1053.0,1789.0,2383.0,215.0,748.0000000000001,5748.0,8981.0,1028.0,6011.000000000001,1941.9999999999998,6566.000000000001,16.70832,2535.0,72.797222,39.0
1009,0.9999999999999999,57826.0,650.63,53068.0,761.0,307.0,117.0,38.0,4626.0,2347.0,684.0,28362.0,28959.999999999996,3616.0,3880.0,4084.0,4032.9999999999995,3107.0,6877.0,7925.0,8085.0,7276.0,5079.0,2552.0,808.0,21578.0,2161.0,2619.0,5771.0,7306.0,578.0,1276.0,16174.999999999998,23887.0,2309.0,17384.0,4194.0,14503.000000000002,26.749872,7288.0,163.784304,49.0
1011,1.0,10101.0,625.05,2507.0,7666.0,23.000000000000004,20.0,43.0,777.0,569.0,86.0,5912.0,5002.0,742.0,570.0,675.0,725.9999999999999,711.0,1555.0,1362.0,1697.0,1407.0,835.0,426.0,208.0,3745.0,556.0,674.0,475.0,703.0,101.0,694.0000000000001,2387.0,4493.0,748.0,2576.0,1169.0,3010.0,15.553776,1915.0,30.072812,52.0
1013,1.0,19448.0,777.8799999999999,11399.0,9095.0,60.0,177.0,7.0,191.0,48.0,161.0,9838.0,11109.000000000002,1372.0,1351.0,1465.0,1391.0,1170.0,2527.0,2377.0,2980.0,2825.0,1829.0000000000002,1148.0,512.0,8491.0,1063.0,1463.0,1479.0000000000002,2199.0,181.0,1143.0,5739.000000000001,9964.0,1473.0000000000002,5967.0,2524.0,6489.0,35.7645,2883.0,79.2305,55.0
1015,1.0,113605.0,612.37,88840.0,24382.0,540.0,845.0,96.0,3893.0,1894.0000000000002,1975.0000000000002,57176.0,61396.0,7204.0,7520.999999999999,7718.999999999999,8607.0,9022.0,14787.000000000002,14627.0,16986.0,15108.999999999998,9437.0,5749.0,1804.0000000000002,47331.0,5725.0,7403.999999999999,8885.0,13283.0,1194.0,4676.0,31609.0,53289.0,5958.0,32552.000000000004,14779.000000000002,33355.0,33.50082,15167.999999999998,436.22598,250.0
1017,1.0,33254.0,603.08,20112.0,13257.0,69.0,168.0,10.0,536.0,214.0,385.0,16363.0,17852.0,1953.0,2045.0,2237.0,2298.0,1925.0,3801.0,4432.0,5049.0,4769.0,3108.0,1827.0,771.0,13933.0,1798.0,2255.0,2205.0,3726.0,410.0,1616.0,9390.999999999998,17004.0,3071.0,9843.0,4090.0,10398.0,52.95357,5148.0,91.62294,126.0
1019,0.9999999999999999,26196.0,600.07,24081.0,1208.0,135.0,54.0,0.9999999999999999,320.0,123.0,387.0,12888.0,13101.0,1390.0,1524.0,1630.0,1670.0,1258.0,2543.0,3380.0000000000005,4020.0,3922.9999999999995,2909.0,1363.0,379.0,10626.0,1358.0,1406.0,2148.0,3726.0000000000005,289.0,681.0,7493.000000000001,16267.0,5641.0,8345.0,2281.0,7038.0,15.668862,3056.0,84.459628,31.000000000000004
1021,1.0,44428.0,700.82,36713.0,4230.0,155.0,130.0,55.0,3420.0,1854.0,505.99999999999994,21608.0,22035.0,2996.0000000000005,3074.9999999999995,2998.0,2983.0000000000005,2573.0,5696.0,5910.0,6197.0,5294.0,3445.0,1859.0,617.0,16558.0,1819.0000000000002,2076.0,4112.0,5133.0,490.0,1328.0,12092.0,19278.0,2720.0,12677.999999999998,3880.0,12227.000000000002,20.496521,6020.999999999999,151.878776,47.99999999999999
