Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Chicago,4/5/2021,37440,37440
Illinois,4/5/2021,136890,136890
Indiana,4/5/2021,88920,88920
Michigan,4/5/2021,135720,135720
Minnesota,4/5/2021,74880,74880
Ohio,4/5/2021,157950,157950
Wisconsin,4/5/2021,79560,79560
Arkansas,4/5/2021,39780,39780
Louisiana,4/5/2021,62010,62010
New Mexico,4/5/2021,29250,29250
Oklahoma,4/5/2021,52650,52650
Texas,4/5/2021,359190,359190
Iowa,4/5/2021,42120,42120
Kansas,4/5/2021,38610,38610
Missouri,4/5/2021,83070,83070
Nebraska,4/5/2021,25740,25740
Colorado,4/5/2021,74880,74880
Montana,4/5/2021,15210,15210
North Dakota,4/5/2021,10530,10530
South Dakota,4/5/2021,11700,11700
Utah,4/5/2021,37440,37440
Wyoming,4/5/2021,8190,8190
Arizona,4/5/2021,93600,93600
California,4/5/2021,524160,524160
Hawaii,4/5/2021,19890,19890
Nevada,4/5/2021,39780,39780
American Samoa,4/5/2021,0,0
Guam,4/5/2021,0,0
Marshall Islands,4/5/2021,0,0
Micronesia,4/5/2021,0,0
Mariana Islands,4/5/2021,0,0
Palau,4/5/2021,0,0
Alaska,4/5/2021,0,0
Idaho,4/5/2021,22230,22230
Oregon,4/5/2021,57330,57330
Washington,4/5/2021,100620,100620
Federal Entities,4/5/2021,243360,243360
Connecticut,3/29/2021,60840,60840
Maine,3/29/2021,23400,23400
Massachusetts,3/29/2021,117000,117000
New Hampshire,3/29/2021,23400,23400
Rhode Island,3/29/2021,18720,18720
Vermont,3/29/2021,11700,11700
New Jersey,3/29/2021,148590,148590
New York,3/29/2021,188370,188370
New York City,3/29/2021,143910,143910
Puerto Rico,3/29/2021,58500,58500
U.S. Virgin Islands,3/29/2021,2340,2340
Delaware,3/29/2021,16380,16380
District of Columbia,3/29/2021,12870,12870
Maryland,3/29/2021,100620,100620
Pennsylvania,3/29/2021,190710,190710
Philadelphia,3/29/2021,26910,26910
Virginia,3/29/2021,140400,140400
West Virginia,3/29/2021,31590,31590
Alabama,3/29/2021,80730,80730
Florida,3/29/2021,352170,352170
Georgia,3/29/2021,167310,167310
Kentucky,3/29/2021,73710,73710
Mississippi,3/29/2021,49140,49140
North Carolina,3/29/2021,168480,168480
South Carolina,3/29/2021,83070,83070
Tennessee,3/29/2021,111150,111150
Chicago,3/29/2021,45630,45630
Illinois,3/29/2021,167310,167310
Indiana,3/29/2021,108810,108810
Michigan,3/29/2021,166140,166140
Minnesota,3/29/2021,91260,91260
Ohio,3/29/2021,194220,194220
Wisconsin,3/29/2021,97110,97110
Arkansas,3/29/2021,49140,49140
Louisiana,3/29/2021,77220,77220
New Mexico,3/29/2021,35100,35100
Oklahoma,3/29/2021,64350,64350
Texas,3/29/2021,441090,441090
Iowa,3/29/2021,51480,51480
Kansas,3/29/2021,47970,47970
Missouri,3/29/2021,101790,101790
Nebraska,3/29/2021,31590,31590
Colorado,3/29/2021,92430,92430
Montana,3/29/2021,17550,17550
North Dakota,3/29/2021,12870,12870
South Dakota,3/29/2021,14040,14040
Utah,3/29/2021,46800,46800
Wyoming,3/29/2021,10530,10530
Arizona,3/29/2021,114660,114660
California,3/29/2021,644670,644670
Hawaii,3/29/2021,24570,24570
Nevada,3/29/2021,49140,49140
American Samoa,3/29/2021,11700,0
Guam,3/29/2021,25740,0
Marshall Islands,3/29/2021,0,0
Micronesia,3/29/2021,0,0
Mariana Islands,3/29/2021,11700,0
Palau,3/29/2021,0,0
Alaska,3/29/2021,91260,79560
Idaho,3/29/2021,26910,26910
Oregon,3/29/2021,70200,70200
Washington,3/29/2021,122850,122850
Federal Entities,3/29/2021,201240,201240
Connecticut,3/22/2021,50310,50310
Maine,3/22/2021,19890,19890
Massachusetts,3/22/2021,95940,95940
New Hampshire,3/22/2021,19890,19890
Rhode Island,3/22/2021,15210,15210
Vermont,3/22/2021,9360,9360
New Jersey,3/22/2021,120510,120510
New York,3/22/2021,153270,153270
New York City,3/22/2021,117000,117000
Puerto Rico,3/22/2021,47970,47970
U.S. Virgin Islands,3/22/2021,2340,2340
Delaware,3/22/2021,14040,14040
District of Columbia,3/22/2021,10530,10530
Maryland,3/22/2021,81900,81900
Pennsylvania,3/22/2021,155610,155610
Philadelphia,3/22/2021,22230,22230
Virginia,3/22/2021,114660,114660
West Virginia,3/22/2021,25740,25740
Alabama,3/22/2021,66690,66690
Florida,3/22/2021,286650,286650
Georgia,3/22/2021,136890,136890
Kentucky,3/22/2021,60840,60840
Mississippi,3/22/2021,39780,39780
North Carolina,3/22/2021,138060,138060
South Carolina,3/22/2021,67860,67860
Tennessee,3/22/2021,90090,90090
Chicago,3/22/2021,37440,37440
Illinois,3/22/2021,136890,136890
Indiana,3/22/2021,88920,88920
Michigan,3/22/2021,135720,135720
Minnesota,3/22/2021,74880,74880
Ohio,3/22/2021,157950,157950
Wisconsin,3/22/2021,79560,79560
Arkansas,3/22/2021,39780,39780
Louisiana,3/22/2021,62010,62010
New Mexico,3/22/2021,29250,29250
Oklahoma,3/22/2021,52650,52650
Texas,3/22/2021,359190,359190
Iowa,3/22/2021,42120,42120
Kansas,3/22/2021,38610,38610
Missouri,3/22/2021,83070,83070
Nebraska,3/22/2021,25740,25740
Colorado,3/22/2021,74880,74880
Montana,3/22/2021,15210,15210
North Dakota,3/22/2021,10530,10530
South Dakota,3/22/2021,11700,11700
Utah,3/22/2021,37440,37440
Wyoming,3/22/2021,8190,8190
Arizona,3/22/2021,93600,93600
California,3/22/2021,524160,524160
Hawaii,3/22/2021,19890,19890
Nevada,3/22/2021,39780,39780
American Samoa,3/22/2021,0,0
Guam,3/22/2021,0,0
Marshall Islands,3/22/2021,0,0
Micronesia,3/22/2021,0,0
Mariana Islands,3/22/2021,0,0
Palau,3/22/2021,0,0
Alaska,3/22/2021,0,0
Idaho,3/22/2021,22230,22230
Oregon,3/22/2021,57330,57330
Washington,3/22/2021,100620,100620
Federal Entities,3/22/2021,195390,195390
Connecticut,3/15/2021,49140,49140
Maine,3/15/2021,18720,18720
Massachusetts,3/15/2021,93600,93600
New Hampshire,3/15/2021,18720,18720
Rhode Island,3/15/2021,15210,15210
Vermont,3/15/2021,9360,9360
New Jersey,3/15/2021,119340,119340
New York,3/15/2021,150930,150930
New York City,3/15/2021,114660,114660
Puerto Rico,3/15/2021,46800,46800
U.S. Virgin Islands,3/15/2021,2340,2340
Delaware,3/15/2021,12870,12870
District of Columbia,3/15/2021,10530,10530
Maryland,3/15/2021,80730,80730
Pennsylvania,3/15/2021,153270,153270
Philadelphia,3/15/2021,22230,22230
Virginia,3/15/2021,112320,112320
West Virginia,3/15/2021,25740,25740
Alabama,3/15/2021,65520,65520
Florida,3/15/2021,281970,281970
Georgia,3/15/2021,134550,134550
Kentucky,3/15/2021,59670,59670
Mississippi,3/15/2021,39780,39780
North Carolina,3/15/2021,135720,135720
South Carolina,3/15/2021,66690,66690
Tennessee,3/15/2021,88920,88920
Chicago,3/15/2021,36270,36270
Illinois,3/15/2021,134550,134550
Indiana,3/15/2021,87750,87750
Michigan,3/15/2021,133380,133380
Minnesota,3/15/2021,73710,73710
Ohio,3/15/2021,155610,155610
Wisconsin,3/15/2021,78390,78390
Arkansas,3/15/2021,39780,39780
Louisiana,3/15/2021,62010,62010
New Mexico,3/15/2021,28080,28080
Oklahoma,3/15/2021,51480,51480
Texas,3/15/2021,353340,353340
Iowa,3/15/2021,42120,42120
Kansas,3/15/2021,38610,38610
Missouri,3/15/2021,80730,80730
Nebraska,3/15/2021,25740,25740
Colorado,3/15/2021,73710,73710
Montana,3/15/2021,14040,14040
North Dakota,3/15/2021,10530,10530
South Dakota,3/15/2021,11700,11700
Utah,3/15/2021,37440,37440
Wyoming,3/15/2021,8190,8190
Arizona,3/15/2021,92430,92430
California,3/15/2021,515970,515970
Hawaii,3/15/2021,19890,19890
Nevada,3/15/2021,38610,38610
American Samoa,3/15/2021,0,0
Guam,3/15/2021,0,0
Marshall Islands,3/15/2021,0,0
Micronesia,3/15/2021,0,0
Mariana Islands,3/15/2021,0,0
Palau,3/15/2021,0,0
Alaska,3/15/2021,0,0
Idaho,3/15/2021,22230,22230
Oregon,3/15/2021,56160,56160
Washington,3/15/2021,98280,98280
