feature,Mean T,Mean T,Min T,Min T,Max T,Max T,Total P,Total P,RH,RH
spearman,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value,correlation,p_value
countyFIPS,,,,,,,,,,
1001,-0.6340717846402731,1.0957852326391367e-12,-0.5476659794061377,3.084910600509276e-09,-0.6954006791712581,7.077425343783828e-16,-0.1824908347462398,0.06776711937939767,-0.15375921781044047,0.1247417860154018
1003,-0.5771724142426023,2.652146153620871e-10,-0.4774560696790776,4.452636734790993e-07,-0.6401533040653471,5.693093807928431e-13,-0.3398808636648908,0.0005063653697565452,-0.0696849501377342,0.488654538706079
1005,-0.30770023020257975,0.002696490913646683,-0.30401049183539974,0.003050741785321171,-0.2621061406835927,0.011148422241265431,0.1326239023630888,0.2050526268754218,-0.010178588599117274,0.9228584790611815
1007,-0.39622989080105675,4.487741805327055e-05,-0.33084264354009063,0.0007737063102403639,-0.46457398784625037,1.1212901691092831e-06,-0.11991092336479713,0.23470475131668245,-0.08048400876092449,0.42602403663107946
1009,-0.5009394487070727,9.54520494854419e-08,-0.4314074103245768,6.6672025021716905e-06,-0.5218602321030964,2.188579731246549e-08,-0.13337885819169062,0.18361524167106635,-0.23875093966929753,0.0161976104985552
1011,-0.4587449326205494,1.65390212404976e-05,-0.4165694550903969,0.00010962424161831796,-0.47837754811925126,6.2741035618182435e-06,0.02851825053980983,0.8004796783882276,-0.062373974299111026,0.5801404027424383
1013,-0.3806141233504679,0.00014185627651872731,-0.302476567860033,0.0028893721591752726,-0.45241525206284194,4.1681220552149406e-06,0.01660379878955229,0.8731155043917819,0.053691030892150875,0.605323258548442
1015,-0.5349919705222531,8.242923652487416e-09,-0.4596022635014345,1.3327857914433188e-06,-0.609059357693456,1.4000868992545215e-11,-0.08389625901154787,0.40421111739414095,-0.051576299332585986,0.6084937935425929
1017,-0.4681207338863804,1.1703673522862658e-06,-0.42268574894580097,1.452905593179602e-05,-0.43377647982034134,8.119635832727088e-06,0.15140016185901728,0.1367119574776648,0.11282808549640248,0.2686631213194958
1019,-0.41836504773070465,1.8126074659123446e-05,-0.3862524340862665,8.557295108683777e-05,-0.44503928640769674,4.402224728435268e-06,-0.07234192799076186,0.4790146759428118,-0.13888625519096026,0.1726043840902311
1021,-0.501308219590262,9.308461847708538e-08,-0.41914968028071914,1.2851603691089823e-05,-0.5430639792052766,4.428717189154949e-09,-0.15626679168498225,0.11863771664130052,0.044566692036025424,0.6581023324024631
1023,-0.11097367396027982,0.36762375650724555,-0.10931214575495957,0.3748839289066006,-0.10680959710003274,0.3859810503950257,-0.12808429341332475,0.29791123786577206,0.07987643001873006,0.517307132475755
1025,-0.2699281838365869,0.007821903629427949,-0.224954868114713,0.02755591692457186,-0.3195333028387867,0.001506689725928693,-0.20028864324713078,0.05039597786142594,-0.09313863663693428,0.3667497269081068
1027,-0.23481152444822487,0.020606687047184078,-0.2049510611618332,0.04403082429040437,-0.2515365570173129,0.012943125266722913,0.06252922501777222,0.5428865733823619,0.16731643253898004,0.10140445009170468
1029,-0.17356996413550693,0.08741244168479925,-0.16125168265278042,0.1126875848378547,-0.17931294671866999,0.07728170725128189,0.08975338887487433,0.3794616413970727,0.027716133336134624,0.7864622824179601
1031,-0.4490477021171502,2.4764669972625094e-06,-0.3618489380294347,0.00020073521610738406,-0.5118869905725293,4.4713603979518696e-08,0.10987352480214813,0.2740487485896286,0.007937226270632128,0.9372104195321855
1033,-0.4053696920860798,2.6083893517115502e-05,-0.32970153744322583,0.0007602502097460856,-0.4827391712192481,3.180346797692488e-07,-0.07735214488293606,0.44197871979725767,-0.26616988592819707,0.007136774978156373
1035,-0.24926904402179328,0.03103351023218076,-0.2745957683768809,0.017118503787266513,-0.1495010219597589,0.20048215084728904,-0.06838463260642418,0.559917295369405,-0.19343807074158317,0.09634611263798021
1037,-0.3811226677914084,0.00024887491529056486,-0.34226862581903644,0.0010983820464196847,-0.331641269685244,0.0015971535741669024,-0.06469723711098783,0.549263582956903,0.026300923317691002,0.8078203624281298
1039,-0.25960033909621383,0.00910082363436445,-0.21471142652345343,0.03193640245027067,-0.24836009774573128,0.012718873837587392,0.016331824228328996,0.8718762869739354,0.11514042101327619,0.25398365293298175
1041,-0.38465083630729713,0.00016686265966554836,-0.32893570746031886,0.00145479165603267,-0.4080271407271229,5.951796659705951e-05,-0.04322261145686006,0.6841491450766839,-0.012962786092886907,0.902936412279645
1043,-0.349681675971563,0.0003378959230524315,-0.2684370269210181,0.006643905668542091,-0.40587375579595414,2.543102127423666e-05,-0.16527123221236364,0.09860385848707007,-0.31922949463830746,0.0011384793467283324
1045,-0.4786480999220521,4.1291131737287075e-07,-0.4178846863410738,1.3732311408753515e-05,-0.5385840075350148,6.264631858806794e-09,0.04361572220719686,0.6649546709919847,-0.0762704092210458,0.4484076748124599
1047,-0.4181786062816907,2.477158331685239e-05,-0.4115036786605484,3.4303197502054404e-05,-0.3498938162582611,0.0005094378443621626,-0.021123227939886687,0.8389936624560961,-0.09377852618989324,0.36603046298780395
1049,-0.22229083760575152,0.02546859548890978,-0.18935994043901985,0.05788696746659697,-0.24814389290841474,0.012348056979675564,0.13318651384767394,0.1842538038006167,0.03472511551581239,0.7302874368805288
1051,-0.6210650898963542,4.239919928640401e-12,-0.5634131094926266,8.58105732492639e-10,-0.6590279024952318,6.776855329403633e-14,-0.1812049575011944,0.06976034139502976,-0.10168464887617132,0.31162246102994556
1053,-0.4139142285081117,3.36955885204704e-05,-0.35494076844844563,0.0004476729124947804,-0.4103247284234886,4.001011294706771e-05,-0.06803756486170323,0.5146732811308847,0.012049430727616158,0.9082353649380549
1055,-0.5723734483937504,4.925297661546275e-10,-0.5228340900999977,2.4030206519229923e-08,-0.6054857139264174,2.498590723357439e-11,-0.11354051002540379,0.26068570713979783,-0.07156018523581449,0.47924788698957377
1057,-0.4761121518187732,9.4415778983877e-07,-0.405428321386528,4.17185574509697e-05,-0.5372990101275894,1.6605283211561986e-08,0.05245245539066948,0.6117728775773031,-0.040358871762129975,0.6962306557819553
1059,-0.4377075144009703,4.710693444512583e-06,-0.35384801764860346,0.0002833724933008834,-0.5163786237977857,3.2503661351523834e-08,0.004964781207976809,0.9607004071000571,-0.09171813030768965,0.36165971180646206
1061,-0.36549657418835485,0.0001710197023582249,-0.3088378094040292,0.0016760308276618152,-0.40036216021902654,3.3479395629710595e-05,0.08186262434136278,0.415738971605243,0.08957603130115353,0.373028365937901
1063,-0.36416874268812427,0.0009693302913746086,-0.3732781718978767,0.0007034366229797755,-0.33541825615128784,0.00251275667880328,-0.14503649149380815,0.2021958267634405,-0.08954948983584349,0.4325559875174617
1065,-0.39680658569701666,5.723480562672978e-05,-0.35473866341510346,0.0003636355057566465,-0.43990555210712773,6.52884685579378e-06,-0.07063109600229252,0.4917822188911759,-0.1324032501293903,0.19607472757137756
1067,-0.4443837490979035,4.069594145335034e-06,-0.36263865472676454,0.00022533434254394153,-0.4927376401152515,2.2082148995653966e-07,0.06014381731980902,0.5542798838129989,0.08058981836224666,0.4277977774421792
1069,-0.5358085046938957,9.219150028856627e-09,-0.47682239469398974,5.297367540976053e-07,-0.5811524262495825,2.3080472497601802e-10,0.024846375911468835,0.8061638957698933,0.12398606637953377,0.21906390955465238
1071,-0.37244080158326875,0.00012539425995650437,-0.2985503361384721,0.0024251709666099756,-0.43364335834478185,5.898580179157763e-06,-0.05877989953023471,0.559299112241755,0.03481893030302343,0.729586870374038
1073,-0.6609783019297438,5.391833351313743e-14,-0.5570559509879406,1.4499892649979788e-09,-0.7347775570316654,2.2108251249054e-18,-0.11724260159578949,0.24295231226059164,-0.14677728891354494,0.14300883394107042
1075,-0.37623709809278966,0.00013450980757496024,-0.2926146535789345,0.003457286985028713,-0.46433908819767433,1.4638178262314917e-06,0.08780599890971513,0.38992993232500794,-0.062413297842489876,0.5415119114124725
1077,-0.504045488051125,7.718147630651517e-08,-0.4282211000518936,7.926860183408286e-06,-0.5680858446358642,5.794099676939106e-10,-0.1423457432681318,0.1556098820121207,-0.23455057287985348,0.01823072614763016
1079,-0.5002209297884564,1.1630910891925026e-07,-0.45234059873313415,2.304675532422853e-06,-0.5380290938618701,7.793059567156299e-09,0.011663662466713255,0.9083071140423498,-0.11354461347226148,0.2606683651028305
1081,-0.6176656767915177,5.977130984108192e-12,-0.5516357699726021,2.2483407193232836e-09,-0.6530284378988775,1.3549111051140656e-13,-0.10765334940237173,0.28392054485702894,-0.02054186090025552,0.8384355589475934
1083,-0.5663920099575961,6.685256195033246e-10,-0.4875610729783293,2.327723083865479e-07,-0.64458796525413,3.499089905570645e-13,-0.11611020866002277,0.24756492113454925,-0.14402433157984126,0.1507426339993354
1085,-0.5178461240416518,1.4656676028046997e-07,-0.4220170915567272,3.093002420087166e-05,-0.5845224213222506,1.1784388956906435e-09,-0.21375146075566626,0.04190635851923234,-0.0227899390559957,0.8302159164951058
1087,-0.5239560674394124,3.6386029460223234e-08,-0.46001631499308016,2.132497938462088e-06,-0.5793529143962707,5.0628474803529e-10,-0.14441074759058858,0.15817024918379666,-0.15677617979794017,0.12514056293590686
1089,-0.6885079770185607,1.7680519136511773e-15,-0.5986790380820968,3.779831156838178e-11,-0.775308254329727,1.792075892471613e-21,-0.24521791124495468,0.013451189902999606,-0.10452377216843542,0.2982338937190231
1091,-0.27064442464844346,0.006460557561624222,-0.19675525042911832,0.0497578869998245,-0.33406130682561874,0.0006819211065276612,-0.07617548963900898,0.4512857699640368,-0.07636597348532156,0.4501515883351942
1093,-0.5645283643982111,1.1587018003198152e-09,-0.47002440035949733,9.176044280921144e-07,-0.6499175443283555,3.372472741010855e-13,-0.23571720210449337,0.018835577126911446,-0.18523693383685777,0.06641732394598839
1095,-0.44967278240008063,2.388616105233984e-06,-0.38119315612546345,8.395207106344664e-05,-0.4918638280879891,1.7547424503880664e-07,-0.08168184839425384,0.4167728864657263,-0.12933422441096676,0.1973857639668922
1097,-0.5627985002498341,9.031861010158967e-10,-0.4642149901365265,1.009979341349226e-06,-0.6415441611698341,4.891235470574961e-13,-0.33252226259770395,0.0006802227095355657,-0.08846073210450885,0.3790328515527971
1099,-0.4067489382221176,7.638643512283315e-05,-0.36120037363050495,0.0005059788757096654,-0.4065352557085522,7.71175515605087e-05,-0.1037093995771107,0.33345776404129734,-0.21104139769778738,0.04711828362305165
1101,-0.5441200158957317,4.078039849942041e-09,-0.4680404975873086,7.999757641652448e-07,-0.5780936568432601,2.4468447582860533e-10,-0.01929320727087129,0.8481349102524407,-0.05317410743639246,0.5974193252276678
1103,-0.5892690238703706,9.02264254152545e-11,-0.49660852892414503,1.279164786144673e-07,-0.6688063043890222,2.1169869017604663e-14,-0.01698398582543143,0.8661313394828756,-0.13488427718567672,0.17867309517147056
1105,-0.2652275227887019,0.01416003118801877,-0.21744295774775538,0.04560514495251597,-0.3435693453005985,0.0012852814601393133,-0.09389897787126143,0.39267374023020085,-0.14688598384566812,0.17977130077907233
1107,-0.3317176908875159,0.0007961436185562174,-0.23817170329830703,0.017598857402972307,-0.3536479538762686,0.0003296245452456302,0.13511866716784798,0.1823797461782002,-0.28652486580218867,0.0040374444544677085
1109,-0.35360874862686503,0.0002862695690218261,-0.31114698238065414,0.0015398361123943485,-0.4047262948515131,2.694004476551731e-05,-0.04128708864057668,0.6818497949636548,-0.2157174458685512,0.030271088184125574
1111,-0.12491343036569706,0.2132715188804448,-0.08918544007425816,0.37512457620280615,-0.15668724229482217,0.11763720572439076,0.1164220442653749,0.24628873138359803,0.031931745088566624,0.7512462881479092
1113,-0.5702829419674413,1.612051077652012e-09,-0.5090493478571387,1.3820245992663174e-07,-0.6044619495940478,8.802806217220413e-11,-0.09021242932509563,0.3846194145188291,-0.12103810079370879,0.24263845036174714
1115,-0.6076918095347468,1.5990923790811472e-11,-0.5251576333953335,1.7193477110141528e-08,-0.6477761757523921,2.4537444768863976e-13,-0.11745447657311271,0.24209592677564457,-0.03460772315883911,0.7311643822299914
1117,-0.6260691810511042,2.5381401372654652e-12,-0.5356771557761213,7.824451433893646e-09,-0.7022957700564332,2.7592027499408296e-16,-0.18017715435792003,0.07138737923598903,-0.12206039575117864,0.22399427306708852
1119,-0.27721867519380217,0.012792465073342843,-0.19199964470124906,0.08797409687094043,-0.3286547423720704,0.0029159161533958435,-0.10233782110562496,0.3663635590523804,-0.08456958519989824,0.45576035782089086
1121,-0.4575512082343353,1.5057578539803692e-06,-0.3829249469970067,7.74400063024746e-05,-0.4965509890698944,1.2841148542342003e-07,-0.031523849075994974,0.7543223571381774,0.1000337969743877,0.31958412258262714
1123,-0.3839727140078597,8.72841709377127e-05,-0.3510448483761337,0.0003672360070802575,-0.41167570304752393,2.3018400753198136e-05,-0.10413597665650678,0.30499872428587893,-0.2492402327879152,0.01285332698404805
1125,-0.5317878693448149,1.0500897124330359e-08,-0.46484550371086136,9.721008799168815e-07,-0.5673646525426038,6.158616722938994e-10,-0.03605581021025963,0.7203713874973705,-0.15398549728224395,0.12418125659513102
1127,-0.42807163958989053,7.9911262915425e-06,-0.3656242544566482,0.0001700574410991264,-0.48008976372401885,3.7676422753003375e-07,-0.21139503725909942,0.033829825617515345,-0.15412000667517503,0.12384897417862538
1129,-0.24759256350482098,0.014481583173846407,-0.18236926136218987,0.07379701909036104,-0.32344450612406334,0.0012310264205332446,-0.2819757951603403,0.005139533168150744,-0.08151923136499593,0.4273202984868757
1131,-0.32555219598963436,0.0019677149908216103,-0.2594435529542362,0.01464868471923773,-0.36186678004100986,0.000531689843680427,0.08581755293644956,0.4266149697520387,0.014481111226398276,0.8934741226040103
1133,-0.4452922936640037,3.4471385236222004e-06,-0.38814714041284626,6.599150148417512e-05,-0.4726479291250689,6.862347085990319e-07,0.049772164327464265,0.6228826415569215,-0.019278751880293724,0.849010287187562
2013,-0.04676097647914123,0.9124508940534211,-0.18704390591656492,0.6573865873195911,-0.18704390591656492,0.6573865873195911,,,-0.10910894511799621,0.7970385741881917
2016,-0.49415253357634237,0.005511516990294772,-0.5017257524817269,0.004730918578245378,-0.5289420079229527,0.0026537883906897464,,,0.1313480153902634,0.4890252783616852
2020,-0.4561441250638895,1.1478198801298626e-05,-0.4558704991774403,1.1635587656128447e-05,-0.44761286081852714,1.745476015291695e-05,0.031131834582782774,0.777299377850009,-0.07878471059119217,0.47354715324530505
2050,-0.36275188746634496,0.001018047470533709,-0.3566144893904432,0.0012557650886083572,-0.3756964393605584,0.0006450231913587054,,,-0.3429149401138767,0.0019768081132760834
2060,,,,,,,,,,
2068,0.0119216309562342,0.9529383247548928,0.02350264388514742,0.907366935144299,0.0,1.0,,,0.08277018063899744,0.6814825605895076
2070,0.18006095567725405,0.3081961583991606,0.21101384247343125,0.2309423363888359,0.18728853330478784,0.28885203750463356,-0.2488332069552557,0.1558706936983215,0.2259403614868162,0.19884133234868312
2090,-0.12315993877014918,0.2614597494648992,-0.09586926027441454,0.3827739108046272,-0.1555920559796218,0.1550482809705691,,,-0.07547944818913428,0.4923582077043378
2100,0.24743582965269675,0.554646423221937,0.24743582965269675,0.554646423221937,0.08247860988423225,0.8460525238666443,,,-0.5773502691896258,0.13397459621556113
2105,-0.24949037428492402,0.38968073899576283,-0.14137787876145694,0.6297335028125011,-0.39364036831621346,0.16375871798240943,,,0.019404806888827425,0.9475035327436196
2110,-0.3337034319307159,0.0032203000279582413,-0.33880651820376634,0.0027554778896705444,-0.33433445872792106,0.003159261998292526,0.23493973263429666,0.041062094830753834,-0.04413072188280494,0.7050360824799795
2122,-0.48483283543294003,2.5743410010142353e-06,-0.47463663324811184,4.44771964709979e-06,-0.4807954130912967,3.203402854271812e-06,,,-0.3832129680203902,0.00029464336544827784
2130,-0.10573743038078291,0.4793389039540066,-0.03776336799313676,0.8010324953647553,-0.029969008839353332,0.8415044128409098,-0.031777528099180614,0.8320735754396886,-0.27552153287792575,0.06086442806663776
